# simulation: Earthquake Building Sim
# Exported: 2025-12-20T13:04:15.291047
#
Time(s),Max_Displacement
2.2301,1.816433e+51
2.2401,3.464150e+51
2.2501,6.606538e+51
2.2601,1.259944e+52
2.2701,2.402860e+52
2.2801,4.582534e+52
2.2901,8.739426e+52
2.3001,1.666710e+53
2.3101,3.178611e+53
2.3201,6.061982e+53
2.3301,1.156091e+54
2.3401,2.204799e+54
2.3501,4.204810e+54
2.3601,8.019062e+54
2.3701,1.529329e+55
2.3801,2.916608e+55
2.3901,5.562311e+55
2.4001,1.060798e+56
2.4101,2.023065e+56
2.4201,3.858220e+56
2.4301,7.358075e+56
2.4401,1.403271e+57
2.4501,2.676201e+57
2.4601,5.103827e+57
2.4701,9.733593e+57
2.4801,1.856310e+58
2.4901,3.540199e+58
2.5001,6.751572e+58
2.5101,1.287603e+59
2.5201,2.455610e+59
2.5301,4.683134e+59
2.5401,8.931283e+59
2.5501,1.703300e+60
2.5601,3.248391e+60
2.5701,6.195061e+60
2.5801,1.181470e+61
2.5901,2.253202e+61
2.6001,4.297118e+61
2.6101,8.195105e+61
2.6201,1.562902e+62
2.6301,2.980636e+62
2.6401,5.684421e+62
2.6501,1.084085e+63
2.6601,2.067477e+63
2.6701,3.942920e+63
2.6801,7.519608e+63
2.6901,1.434077e+64
2.7001,2.734952e+64
2.7101,5.215872e+64
2.7201,9.947275e+64
2.7301,1.897061e+65
2.7401,3.617917e+65
2.7501,6.899790e+65
2.7601,1.315870e+66
2.7701,2.509518e+66
2.7801,4.785944e+66
2.7901,9.127352e+66
2.8001,1.740692e+67
2.8101,3.319703e+67
2.8201,6.331061e+67
2.8301,1.207407e+68
2.8401,2.302666e+68
2.8501,4.391453e+68
2.8601,8.375013e+68
2.8701,1.597213e+69
2.8801,3.046071e+69
2.8901,5.809212e+69
2.9001,1.107884e+70
2.9101,2.112865e+70
2.9201,4.029479e+70
2.9301,7.684686e+70
2.9401,1.465559e+71
2.9501,2.794992e+71
2.9601,5.330376e+71
2.9701,1.016565e+72
2.9801,1.938708e+72
2.9901,3.697342e+72
3.0001,7.051261e+72
3.0101,1.344758e+73
3.0201,2.564610e+73
3.0301,4.891010e+73
3.0401,9.327726e+73
3.0501,1.778906e+74
3.0601,3.392581e+74
3.0701,6.470048e+74
3.0801,1.233914e+75
3.0901,2.353217e+75
3.1001,4.487859e+75
3.1101,8.558870e+75
3.1201,1.632276e+76
3.1301,3.112941e+76
3.1401,5.936742e+76
3.1501,1.132206e+77
3.1601,2.159248e+77
3.1701,4.117939e+77
3.1801,7.853389e+77
3.1901,1.497733e+78
3.2001,2.856351e+78
3.2101,5.447394e+78
3.2201,1.038882e+79
3.2301,1.981268e+79
3.2401,3.778510e+79
3.2501,7.206058e+79
3.2601,1.374279e+80
3.2701,2.620911e+80
3.2801,4.998382e+80
3.2901,9.532498e+80
3.3001,1.817958e+81
3.3101,3.467059e+81
3.3201,6.612085e+81
3.3301,1.261002e+82
3.3401,2.404877e+82
3.3501,4.586381e+82
3.3601,8.746764e+82
3.3701,1.668110e+83
3.3801,3.181280e+83
3.3901,6.067071e+83
3.4001,1.157061e+84
3.4101,2.206651e+84
3.4201,4.208340e+84
3.4301,8.025795e+84
3.4401,1.530613e+85
3.4501,2.919057e+85
3.4601,5.566981e+85
3.4701,1.061688e+86
3.4801,2.024763e+86
3.4901,3.861459e+86
3.5001,7.364253e+86
3.5101,1.404449e+87
3.5201,2.678448e+87
3.5301,5.108112e+87
3.5401,9.741766e+87
3.5501,1.857868e+88
3.5601,3.543171e+88
3.5701,6.757241e+88
3.5801,1.288685e+89
3.5901,2.457672e+89
3.6001,4.687066e+89
3.6101,8.938782e+89
3.6201,1.704730e+90
3.6301,3.251119e+90
3.6401,6.200262e+90
3.6501,1.182462e+91
3.6601,2.255093e+91
3.6701,4.300726e+91
3.6801,8.201986e+91
3.6901,1.564214e+92
3.7001,2.983139e+92
3.7101,5.689194e+92
3.7201,1.084996e+93
3.7301,2.069213e+93
3.7401,3.946230e+93
3.7501,7.525921e+93
3.7601,1.435281e+94
3.7701,2.737248e+94
3.7801,5.220251e+94
3.7901,9.955627e+94
3.8001,1.898654e+95
3.8101,3.620955e+95
3.8201,6.905583e+95
3.8301,1.316975e+96
3.8401,2.511625e+96
3.8501,4.789962e+96
3.8601,9.135016e+96
3.8701,1.742154e+97
3.8801,3.322491e+97
3.8901,6.336377e+97
3.9001,1.208421e+98
3.9101,2.304600e+98
3.9201,4.395140e+98
3.9301,8.382044e+98
3.9401,1.598554e+99
3.9501,3.048628e+99
3.9601,5.814089e+99
3.9701,1.108815e+100
3.9801,2.114639e+100
3.9901,4.032862e+100
4.0001,7.691138e+100
4.0101,1.466790e+101
4.0201,2.797339e+101
4.0301,5.334852e+101
4.0401,1.017418e+102
4.0501,1.940335e+102
4.0601,3.700446e+102
4.0701,7.057182e+102
4.0801,1.345887e+103
4.0901,2.566763e+103
4.1001,4.895116e+103
4.1101,9.335557e+103
4.1201,1.780400e+104
4.1301,3.395430e+104
4.1401,6.475480e+104
4.1501,1.234950e+105
4.1601,2.355193e+105
4.1701,4.491627e+105
4.1801,8.566056e+105
4.1901,1.633647e+106
4.2001,3.115555e+106
4.2101,5.941726e+106
4.2201,1.133156e+107
4.2301,2.161061e+107
4.2401,4.121396e+107
4.2501,7.859983e+107
4.2601,1.498990e+108
4.2701,2.858749e+108
4.2801,5.451968e+108
4.2901,1.039754e+109
4.3001,1.982932e+109
4.3101,3.781682e+109
4.3201,7.212108e+109
4.3301,1.375433e+110
4.3401,2.623111e+110
4.3501,5.002579e+110
4.3601,9.540501e+110
4.3701,1.819485e+111
4.3801,3.469970e+111
4.3901,6.617637e+111
4.4001,1.262060e+112
4.4101,2.406896e+112
4.4201,4.590232e+112
4.4301,8.754107e+112
4.4401,1.669510e+113
4.4501,3.183951e+113
4.4601,6.072165e+113
4.4701,1.158033e+114
4.4801,2.208503e+114
4.4901,4.211873e+114
4.5002,8.032533e+114
4.5102,1.531898e+115
4.5202,2.921508e+115
4.5302,5.571655e+115
4.5402,1.062580e+116
4.5502,2.026463e+116
4.5602,3.864702e+116
4.5702,7.370436e+116
4.5802,1.405628e+117
4.5902,2.680697e+117
4.6002,5.112401e+117
4.6102,9.749945e+117
4.6202,1.859428e+118
4.6302,3.546146e+118
4.6402,6.762914e+118
4.6502,1.289767e+119
4.6602,2.459735e+119
4.6702,4.691002e+119
4.6802,8.946287e+119
4.6902,1.706161e+120
4.7002,3.253848e+120
4.7102,6.205468e+120
4.7202,1.183455e+121
4.7302,2.256987e+121
4.7402,4.304337e+121
4.7502,8.208872e+121
4.7602,1.565528e+122
4.7702,2.985644e+122
4.7802,5.693970e+122
4.7902,1.085907e+123
4.8002,2.070950e+123
4.8102,3.949544e+123
